ET,V,N,SA,IA,RL,RE,P,FX,FY,FZ,MX,MZ,NFX,NFY,RST,TSTI,TSTC,TSTO,AMBTMP,SR
0.0,40.31,412.46,-0.066,-0.04,25.489,25.929000000000002,82.68,127.45,72.46,-1132.4,60.75,54.56,-0.11,-0.06,33.93,30.12,30.15,28.85,31.07,-0.017
0.01,40.32,412.32,-0.07,-0.036000000000000004,25.485,25.947,82.63,109.34,72.09,-1120.54,49.32,65.39,-0.1,-0.06,33.92,30.09,30.07,28.8,31.07,-0.018000000000000002
0.02,40.32,412.32,-0.069,-0.04,25.487,25.944000000000003,82.73,85.49,75.93,-1095.87,33.47,74.66,-0.08,-0.07,33.93,30.04,30.16,28.86,31.05,-0.018000000000000002
0.03,40.32,412.39,-0.075,-0.033,25.48,25.939,82.58,53.01,74.79,-1058.93,13.24,79.21,-0.05,-0.07,33.92,30.1,30.15,28.85,31.06,-0.018000000000000002
0.04,40.33,412.46,-0.073,-0.031,25.489,25.941,82.58,7.03,73.11,-1019.19,-5.35,77.27,-0.01,-0.07,33.93,30.05,30.1,28.85,31.08,-0.017
0.05,40.35,412.73,-0.076,-0.033,25.482,25.936,82.58,-47.12,73.02,-987.2,-17.12,69.53,0.05,-0.07,33.93,29.93,30.13,28.79,31.06,-0.018000000000000002
0.06,40.34,412.73,-0.073,-0.033,25.486,25.93,82.52,-87.46,69.58,-968.1,-21.92,59.53,0.09,-0.07,33.89,30.15,30.01,28.57,31.05,-0.017
0.07,40.35,413.01,-0.07,-0.033,25.482,25.921999999999997,82.58,-96.0,66.98,-960.61,-19.76,50.85,0.1,-0.07,33.84,30.17,30.1,28.68,31.07,-0.017
0.08,40.34,413.14,-0.069,-0.039,25.488000000000003,25.906999999999996,82.52,-65.91,61.77,-970.23,-10.69,44.77,0.07,-0.06,33.92,29.99,30.15,28.69,31.07,-0.016
0.09,40.34,413.49,-0.063,-0.036000000000000004,25.483,25.886,82.47,-12.31,57.87,-999.83,4.15,39.72,0.01,-0.06,33.89,30.09,30.21,28.65,31.06,-0.016
0.1,40.33,413.42,-0.067,-0.031,25.483,25.881,82.52,49.6,56.76,-1035.9,21.85,36.55,-0.05,-0.05,33.91,30.02,30.3,28.65,31.06,-0.015
0.11,40.34,413.42,-0.07200000000000001,-0.036000000000000004,25.476999999999997,25.886999999999997,82.52,96.24,57.79,-1072.93,39.55,34.39,-0.09,-0.05,33.89,30.32,30.36,28.54,31.07,-0.016
0.12,40.33,413.21,-0.07200000000000001,-0.036000000000000004,25.487,25.897,82.47,121.19,60.08,-1105.67,54.16,34.65,-0.11,-0.05,33.84,30.01,30.19,28.69,31.06,-0.016
0.13,40.33,413.14,-0.067,-0.036000000000000004,25.483,25.901,82.47,117.01,62.21,-1121.37,61.06,37.48,-0.1,-0.06,33.89,30.15,30.13,28.45,31.05,-0.016
0.14,40.33,412.73,-0.067,-0.04,25.485,25.927,82.58,89.47,67.02,-1129.74,62.54,43.39,-0.08,-0.06,33.91,30.23,30.23,28.89,31.07,-0.017
0.15,40.32,412.53,-0.069,-0.037000000000000005,25.480999999999998,25.934,82.52,53.17,70.93,-1123.63,56.37,53.19,-0.05,-0.06,33.92,29.94,30.32,28.71,31.07,-0.017
0.16,40.31,412.6,-0.07200000000000001,-0.03,25.483,25.923000000000002,82.63,22.36,76.07,-1103.06,42.92,64.89,-0.02,-0.07,33.9,30.13,30.26,28.56,31.06,-0.017
0.17,40.31,412.53,-0.073,-0.034,25.484,25.925,82.63,9.27,77.82,-1072.0,25.31,76.48,-0.01,-0.07,33.92,30.04,30.21,28.51,31.05,-0.017
0.18,40.31,412.53,-0.076,-0.033,25.482,25.925,82.17,4.79,78.16,-1036.03,6.35,82.96,0.0,-0.08,33.91,30.12,30.41,28.74,31.07,-0.017
