ET,V,N,SA,IA,RL,RE,P,FX,FY,FZ,MX,MZ,NFX,NFY,RST,TSTI,TSTC,TSTO,AMBTMP,SR
0.0,25.02,419.85,-0.069,-0.031,9.897,10.016,11.98,2.09,14.02,-237.88,27.66,20.37,-0.01,-0.06,88.87,80.83,80.12,75.54,81.45,-0.012
0.01,25.02,419.91,-0.066,-0.027999999999999997,9.896,10.014,11.98,0.15,13.12,-239.41,35.8,29.02,0.0,-0.05,88.87,80.89,79.92,75.48,81.48,-0.012
0.02,25.02,420.12,-0.064,-0.033,9.897,10.011000000000001,11.97,-1.16,12.34,-239.85,37.27,39.65,0.0,-0.05,88.86,80.78,79.92,75.59,81.46,-0.011000000000000001
0.03,25.03,419.78,-0.057999999999999996,-0.034,9.899,10.021,11.98,-2.97,11.2,-240.84,33.69,50.53,0.01,-0.05,88.86,80.63,79.92,75.27,81.44,-0.012
0.04,25.04,419.91,-0.061,-0.03,9.896,10.024,11.96,-6.61,11.09,-239.03,23.18,58.61,0.03,-0.05,88.88,80.6,80.26,75.51,81.46,-0.013000000000000001
0.05,25.06,419.98,-0.057999999999999996,-0.036000000000000004,9.9,10.027999999999999,11.99,-11.27,10.84,-236.7,10.14,62.41,0.05,-0.05,88.86,80.83,79.95,75.48,81.47,-0.013000000000000001
0.06,25.07,420.19,-0.061,-0.033,9.897,10.029,12.01,-15.41,10.89,-232.43,-4.91,62.05,0.07,-0.05,88.87,80.6,79.92,75.51,81.43,-0.013000000000000001
0.07,25.08,420.39,-0.061,-0.034,9.9,10.027999999999999,12.0,-21.24,11.44,-228.26,-17.46,56.03,0.09,-0.05,88.86,80.6,79.89,75.38,81.43,-0.013000000000000001
0.08,25.09,420.67,-0.064,-0.037000000000000005,9.898,10.025,11.99,-27.25,12.81,-224.78,-25.95,46.56,0.12,-0.06,88.9,80.58,80.12,75.38,81.47,-0.013000000000000001
0.09,25.1,420.6,-0.061,-0.031,9.9,10.03,11.99,-31.35,14.36,-224.08,-28.35,35.78,0.14,-0.06,88.86,80.46,79.87,75.43,81.44,-0.013000000000000001
0.1,25.1,420.74,-0.054000000000000006,-0.037000000000000005,9.898,10.027000000000001,12.02,-32.35,16.13,-225.74,-24.45,25.12,0.14,-0.07,88.86,80.46,79.81,75.43,81.42,-0.013000000000000001
0.11,25.1,420.8,-0.057999999999999996,-0.04,9.898,10.026,12.06,-29.65,17.14,-228.75,-15.43,16.32,0.13,-0.07,88.86,80.58,79.84,75.43,81.44,-0.013000000000000001
0.12,25.1,420.94,-0.06,-0.037000000000000005,9.899,10.022,12.08,-21.96,17.7,-232.12,-2.57,13.22,0.09,-0.08,88.91,80.83,79.89,75.51,81.46,-0.012
0.13,25.1,420.94,-0.051,-0.033,9.897,10.022,12.06,-14.88,16.86,-235.31,11.8,13.26,0.06,-0.07,88.86,81.01,79.5,75.54,81.43,-0.013000000000000001
0.14,25.1,421.15,-0.064,-0.036000000000000004,9.898,10.017000000000001,12.06,-8.14,15.88,-237.3,24.68,17.78,0.03,-0.07,88.83,80.69,79.84,75.65,81.43,-0.012
0.15,25.09,421.15,-0.061,-0.033,9.897,10.013,12.04,-2.01,13.75,-240.3,34.82,26.13,0.01,-0.06,89.01,80.86,79.64,75.84,81.45,-0.012
0.16,25.1,420.94,-0.061,-0.040999999999999995,9.898,10.02,12.01,3.35,11.43,-242.11,37.79,36.89,-0.01,-0.05,88.87,80.86,79.64,75.18,81.44,-0.012
0.17,25.09,420.74,-0.053,-0.037000000000000005,9.897,10.023,12.04,8.73,9.18,-243.45,34.58,48.34,-0.04,-0.04,88.91,80.78,80.14,76.06,81.42,-0.013000000000000001
0.18,25.09,420.87,-0.07200000000000001,-0.024,9.895,10.02,12.06,14.25,7.19,-242.7,24.97,58.38,-0.06,-0.03,88.82,80.69,79.73,75.54,81.43,-0.013000000000000001
0.19,25.09,420.67,-0.066,-0.034,9.896,10.023,12.1,18.38,6.33,-241.19,12.94,64.65,-0.08,-0.03,88.95,80.81,80.06,75.62,81.45,-0.013000000000000001
0.2,25.08,420.74,-0.051,-0.03,9.897,10.02,12.16,18.59,5.91,-236.91,-1.51,65.51,-0.08,-0.02,88.87,80.46,79.73,75.87,81.42,-0.012
0.21,25.09,420.74,-0.064,-0.037000000000000005,9.898,10.021,12.2,14.09,6.79,-232.22,-14.11,60.74,-0.06,-0.03,88.87,80.78,80.01,76.06,81.41,-0.012
0.22,25.09,420.74,-0.067,-0.027999999999999997,9.896,10.023,12.17,7.26,7.97,-228.88,-23.35,51.94,-0.03,-0.03,88.86,80.69,79.73,75.68,81.43,-0.013000000000000001
0.23,25.08,420.53,-0.057999999999999996,-0.025,9.897,10.024,12.15,0.83,9.36,-227.85,-26.93,40.9,0.0,-0.04,88.87,80.81,80.06,76.11,81.43,-0.013000000000000001
0.24,25.08,420.53,-0.05,-0.031,9.896,10.025,12.13,-2.29,10.02,-230.04,-24.21,30.22,0.01,-0.04,88.87,80.72,79.84,75.98,81.41,-0.013000000000000001
0.25,25.08,420.53,-0.055999999999999994,-0.025,9.897,10.023,12.06,-2.61,10.69,-232.33,-17.21,21.43,0.01,-0.05,88.83,80.72,79.89,75.68,81.41,-0.013000000000000001
0.26,25.08,420.53,-0.06,-0.031,9.896,10.022,12.11,-2.63,10.95,-234.75,-6.04,15.32,0.01,-0.05,88.86,80.75,80.01,75.7,81.44,-0.013000000000000001
0.27,25.08,420.74,-0.054000000000000006,-0.04,9.899,10.019,12.13,-2.21,11.24,-237.31,7.67,13.76,0.01,-0.05,88.88,80.78,80.06,75.79,81.41,-0.012
0.28,25.08,420.8,-0.063,-0.031,9.897,10.019,12.15,-0.8,10.37,-240.48,21.14,16.79,0.0,-0.04,88.85,80.83,79.81,75.43,81.4,-0.012
0.29,25.08,420.74,-0.055999999999999994,-0.033,9.896,10.017999999999999,12.17,2.6,8.25,-242.79,31.09,24.34,-0.01,-0.03,88.85,80.78,80.26,75.81,81.42,-0.012
0.3,25.08,420.6,-0.057999999999999996,-0.027000000000000003,9.897,10.022,12.15,6.87,5.76,-245.41,36.92,34.95,-0.03,-0.02,88.88,80.75,80.12,75.79,81.43,-0.013000000000000001
0.31,25.07,420.67,-0.057,-0.033,9.898,10.016,12.13,9.95,3.41,-246.35,36.23,46.7,-0.04,-0.01,88.87,80.86,80.17,75.73,81.39,-0.012
0.32,25.07,420.53,-0.061,-0.037000000000000005,9.898,10.017999999999999,12.16,9.96,2.42,-245.45,29.52,56.41,-0.04,-0.01,88.85,80.81,80.2,75.62,81.41,-0.012
0.33,25.06,420.26,-0.061,-0.034,9.901,10.024,12.2,7.57,2.16,-241.72,16.67,62.47,-0.03,-0.01,88.83,81.12,80.42,75.7,81.43,-0.012
0.34,25.06,420.32,-0.064,-0.034,9.896,10.021,12.23,3.86,2.05,-237.36,1.91,64.02,-0.02,-0.01,88.85,80.78,80.14,75.46,81.41,-0.012
0.35,25.06,420.26,-0.057999999999999996,-0.027000000000000003,9.897,10.02,12.23,-1.82,3.04,-232.4,-12.03,60.41,0.01,-0.01,88.77,80.89,80.2,75.87,81.39,-0.012
0.36,25.05,420.05,-0.057999999999999996,-0.036000000000000004,9.898,10.024,12.2,-7.65,4.26,-227.66,-22.5,53.25,0.03,-0.02,88.82,80.92,80.03,75.7,81.41,-0.013000000000000001
0.37,25.06,420.12,-0.057,-0.024,9.9,10.023,12.15,-12.77,5.93,-225.24,-27.26,42.92,0.06,-0.03,88.8,80.92,80.03,75.7,81.42,-0.012
0.38,25.05,420.26,-0.063,-0.036000000000000004,9.898,10.017999999999999,12.12,-13.5,8.33,-225.59,-25.53,32.26,0.06,-0.04,88.71,81.18,79.98,75.76,81.39,-0.012
0.39,25.05,420.26,-0.061,-0.036000000000000004,9.901,10.019,12.11,-9.75,10.57,-228.57,-18.16,23.39,0.04,-0.05,88.78,80.89,79.89,75.81,81.4,-0.012
0.4,25.04,420.32,-0.051,-0.027000000000000003,9.898,10.014,12.14,-4.83,10.94,-231.19,-8.69,16.96,0.02,-0.05,88.76,80.75,79.95,75.76,81.41,-0.012
0.41,25.04,420.39,-0.054000000000000006,-0.04,9.899,10.011000000000001,12.18,-1.11,11.54,-233.54,4.49,14.77,0.0,-0.05,88.7,80.86,79.81,75.84,81.4,-0.011000000000000001
0.42,25.04,420.32,-0.057999999999999996,-0.037000000000000005,9.899,10.014,12.18,-1.86,11.32,-235.51,17.87,15.88,0.01,-0.05,88.78,81.06,80.28,75.84,81.38,-0.011000000000000001
0.43,25.04,420.19,-0.054000000000000006,-0.037000000000000005,9.899,10.014,12.17,-5.11,10.93,-236.69,28.72,21.54,0.02,-0.05,88.75,80.98,80.14,76.19,81.4,-0.011000000000000001
0.44,25.04,420.19,-0.063,-0.034,9.899,10.014,12.13,-8.56,10.49,-238.58,36.38,30.29,0.04,-0.04,88.7,81.21,80.2,75.62,81.42,-0.011000000000000001
0.45,25.03,420.05,-0.055999999999999994,-0.033,9.898,10.016,12.12,-8.52,10.0,-239.08,36.88,41.2,0.04,-0.04,88.77,80.78,79.76,76.09,81.39,-0.012
0.46,25.03,419.98,-0.063,-0.03,9.897,10.017000000000001,12.12,-3.51,9.62,-238.93,31.29,52.16,0.01,-0.04,88.7,81.18,80.12,75.76,81.38,-0.012
0.47,25.03,420.05,-0.063,-0.027000000000000003,9.896,10.015,12.12,5.34,9.36,-237.82,20.95,61.14,-0.02,-0.04,88.72,80.75,79.81,76.19,81.41,-0.012
0.48,25.03,420.12,-0.055999999999999994,-0.027999999999999997,9.898,10.012,12.11,15.13,9.26,-235.09,7.27,66.07,-0.06,-0.04,88.66,81.12,79.78,76.09,81.41,-0.011000000000000001
0.49,25.03,420.12,-0.064,-0.03,9.899,10.012,12.06,20.59,9.02,-231.58,-7.06,64.85,-0.09,-0.04,88.67,80.52,79.87,76.41,81.38,-0.011000000000000001
0.5,25.02,420.12,-0.057,-0.027999999999999997,9.899,10.011000000000001,12.06,18.6,9.88,-227.63,-18.73,58.35,-0.08,-0.04,88.71,80.72,79.67,75.89,81.39,-0.011000000000000001
0.51,25.02,419.78,-0.079,-0.033,9.899,10.019,12.04,8.37,10.64,-225.39,-25.49,47.06,-0.04,-0.05,88.67,80.92,79.95,76.14,81.42,-0.012
0.52,25.02,419.71,-0.055999999999999994,-0.031,9.899,10.017999999999999,12.02,-4.34,12.67,-225.4,-25.82,35.12,0.02,-0.06,88.72,80.81,79.84,75.87,81.39,-0.012
0.53,25.02,419.57,-0.057,-0.025,9.894,10.024,12.03,-15.05,14.57,-227.99,-20.24,23.96,0.07,-0.06,88.73,80.89,79.92,75.79,81.38,-0.013000000000000001
0.54,25.02,419.71,-0.066,-0.036000000000000004,9.897,10.019,12.03,-20.99,16.39,-231.18,-9.93,15.76,0.09,-0.07,88.68,80.69,79.73,75.73,81.41,-0.012
0.55,25.03,419.78,-0.057,-0.024,9.896,10.02,12.16,-22.37,16.14,-233.14,1.14,12.3,0.1,-0.07,88.68,80.98,79.95,75.68,81.41,-0.012
0.56,25.03,419.85,-0.06,-0.027999999999999997,9.895,10.019,12.18,-21.97,15.62,-235.15,13.42,12.84,0.09,-0.07,88.7,81.01,79.98,75.59,81.37,-0.012
0.57,25.04,420.05,-0.051,-0.033,9.895,10.017999999999999,12.05,-19.98,14.31,-237.23,24.91,17.89,0.08,-0.06,88.68,81.01,79.95,75.84,81.4,-0.012
0.58,25.04,420.05,-0.055999999999999994,-0.03,9.896,10.017999999999999,12.1,-15.76,13.56,-240.01,33.49,26.93,0.07,-0.06,88.68,80.92,79.89,75.59,81.41,-0.012
0.59,25.05,420.05,-0.057,-0.027999999999999997,9.892999999999999,10.021,12.09,-11.07,12.77,-242.84,36.83,37.63,0.05,-0.05,88.71,80.83,80.14,75.84,81.39,-0.013000000000000001
0.6,25.05,420.05,-0.053,-0.033,9.892999999999999,10.024,12.08,-6.24,11.17,-244.37,33.14,48.93,0.03,-0.05,88.68,80.81,79.95,75.81,81.37,-0.013000000000000001
0.61,25.06,420.05,-0.055999999999999994,-0.031,9.894,10.025,12.06,-3.58,9.67,-243.39,23.24,57.63,0.01,-0.04,88.68,80.78,79.92,75.84,81.4,-0.013000000000000001
0.62,25.06,420.05,-0.057,-0.037000000000000005,9.898,10.026,12.04,-1.64,8.96,-241.02,10.08,62.91,0.01,-0.04,88.7,80.78,79.84,76.17,81.4,-0.013000000000000001
0.63,25.06,420.05,-0.057,-0.033,9.898,10.027999999999999,12.04,-1.7,9.01,-237.42,-3.77,62.81,0.01,-0.04,88.63,80.72,79.89,75.81,81.37,-0.013000000000000001
0.64,25.06,420.32,-0.051,-0.036000000000000004,9.894,10.02,12.04,-3.85,9.25,-233.25,-16.48,57.97,0.02,-0.04,88.7,81.12,79.84,75.89,81.37,-0.013000000000000001
0.65,25.06,420.19,-0.06,-0.02,9.894,10.025,12.09,-8.35,10.73,-229.93,-24.87,48.59,0.04,-0.05,88.66,80.78,79.92,75.79,81.41,-0.013000000000000001
0.66,25.07,420.26,-0.057999999999999996,-0.039,9.892999999999999,10.025,12.08,-11.57,12.65,-228.8,-27.57,38.07,0.05,-0.06,88.73,80.78,79.95,75.79,81.4,-0.013000000000000001
