ET,V,SA,IA,RL,FX,FY,FZ,MX,MY,MZ,P,N,RE,TSTI,TSTC,TSTO
0.0,40.31,-0.057,-0.031,22.061999999999998,-261.88,137.29,-974.55,-61.18,-3.4,-39.49,82.73,475.99,22.471,26.48,26.39,23.61
0.01,40.32,-0.063,-0.036000000000000004,22.052,-302.72,130.2,-977.04,-43.99,4.12,-47.87,82.68,475.92,22.479,26.45,26.38,23.6
0.02,40.33,-0.06,-0.031,22.055999999999997,-322.17,127.05,-999.5,-25.06,13.92,-46.52,82.73,475.99,22.480999999999998,26.51,26.38,23.6
0.03,40.34,-0.07,-0.036000000000000004,22.061999999999998,-319.67,132.15,-1036.19,-7.24,23.19,-37.99,82.68,476.06,22.480999999999998,26.62,26.35,23.55
0.04,40.33,-0.061,-0.033,22.057,-286.63,139.0,-1075.49,2.71,26.54,-22.17,82.78,476.12,22.475,26.61,26.53,23.55
0.05,40.35,-0.055999999999999994,-0.03,22.059,-237.13,147.03,-1100.93,2.04,25.16,-4.05,82.78,476.26,22.479,26.57,26.36,23.64
0.06,40.34,-0.063,-0.04,22.058000000000003,-179.1,155.01,-1108.32,-9.19,20.53,13.29,82.73,476.4,22.467,26.54,26.42,23.61
0.07,40.35,-0.061,-0.037000000000000005,22.057,-131.33,159.36,-1107.2,-25.27,15.01,23.75,82.83,476.6,22.463,26.64,26.47,23.6
0.08,40.36,-0.053,-0.037000000000000005,22.058000000000003,-95.85,162.41,-1087.84,-45.03,7.62,26.01,82.78,476.67,22.462,26.51,26.24,23.6
0.09,40.35,-0.061,-0.044000000000000004,22.065,-84.19,158.05,-1065.93,-62.07,-0.1,18.05,82.73,476.88,22.45,26.81,26.56,23.41
0.1,40.35,-0.063,-0.03,22.059,-93.62,149.51,-1036.75,-74.54,-5.7,4.08,82.68,476.88,22.447,26.64,26.28,23.55
0.11,40.33,-0.057999999999999996,-0.024,22.053,-124.34,140.6,-1008.35,-78.0,-8.53,-12.9,82.73,476.81,22.443,26.73,26.42,23.66
0.12,40.34,-0.066,-0.034,22.059,-169.43,132.83,-988.37,-70.01,-5.31,-30.12,82.68,476.81,22.448,26.59,26.35,23.43
0.13,40.34,-0.05,-0.034,22.057,-213.19,129.21,-981.82,-53.74,2.15,-42.58,82.98,476.81,22.445,26.48,26.45,23.75
0.14,40.33,-0.075,-0.027000000000000003,22.055999999999997,-242.6,129.61,-991.26,-34.94,8.35,-46.78,82.78,476.6,22.45,26.7,26.59,23.73
